t,N,Vx,Vy,Vz,Pxx,Pyy,Pzz,Pxy,Pxz,Pyz
1501054080.858278,0.1003158017992973,-2466.001953125000,1385.263183593750,1048.922363281250,7.297482063073346e-11,6.307179778453076e-11,7.224998377353131e-11,8.322174871976118e-13,2.748615137576627e-12,1.221889017917477e-12
1501054080.888278,0.1037538573145866,197.2920074462891,29.64212799072266,1001.512695312500,6.290671455966290e-11,7.117238048914842e-11,7.188161871285459e-11,-2.477735681558069e-12,2.524599453102017e-12,2.634093843652957e-13
1501054080.918278,0.1054957807064056,-2836.821777343750,620.2127685546875,989.4369506835938,6.675106301035072e-11,7.102391591518042e-11,7.386942446618860e-11,4.849648026911124e-12,2.544596261130905e-12,6.762660635477313e-13
1501054080.948278,0.1118596643209457,-645.6183471679688,-585.7559204101562,983.7490844726562,6.640256400292088e-11,6.778560351916596e-11,7.044155536650720e-11,2.704886661875072e-12,-2.109760933663440e-13,-2.167881542683436e-12
1501054080.978278,0.1146188601851463,-1549.593139648438,-9.699091911315918,883.4009399414062,7.194768392171369e-11,7.556429093558137e-11,7.840782190182694e-11,-8.718756511032211e-13,-1.210429326214957e-12,1.693652596640449e-12
1501054081.008278,0.1027635484933853,-3411.304931640625,1304.907470703125,825.3438720703125,6.726177254057220e-11,7.134495771943250e-11,7.044822364354886e-11,-8.686384944667225e-13,1.016411957312398e-13,-4.516613455853372e-14
1501054081.038292,0.1015149876475334,-2642.445800781250,647.0544433593750,1515.985961914062,6.712368855188444e-11,6.955854642276549e-11,6.673805952317480e-11,-9.419265497787044e-13,-1.548398778986049e-12,7.495851270418463e-13
1501054081.068292,0.1001568511128426,-2672.929199218750,-130.7520446777344,397.7475280761719,6.391725343446453e-11,7.520310763009519e-11,7.046348921013745e-11,8.297138475409083e-13,4.189832888187167e-13,8.035038021221574e-13
1501054081.098292,0.1076514050364494,-2268.009521484375,279.0258178710938,753.0454101562500,6.981248912296678e-11,7.110719651981512e-11,7.376602106923258e-11,-2.552583795376040e-12,1.553931896353111e-12,2.482209099721744e-12
1501054081.128292,0.09934696555137634,-1793.701660156250,533.0579223632812,296.8779602050781,7.181127220645678e-11,6.557930587458571e-11,7.244480015877741e-11,-1.156798723651875e-12,2.549189700475074e-13,4.120877901067632e-13
1501054081.158292,0.1025490909814835,-2975.922607421875,933.8473510742188,1719.225097656250,7.198980994660431e-11,7.486859743277563e-11,7.074141272767065e-11,-1.890074685304000e-12,-1.467032658547529e-12,-7.116318710524705e-13
1501054081.188292,0.09721266478300095,-3268.085693359375,1460.235595703125,1433.650268554688,6.760427634366906e-11,6.998056995000113e-11,7.152557712775121e-11,3.090799751553908e-12,-2.861844604611780e-13,1.383552777553532e-12
1501054081.218292,0.09924735873937607,-3862.718261718750,2201.324707031250,231.8105010986328,7.632152548842086e-11,7.006652202878882e-11,6.954977566087095e-11,-4.043113500246109e-12,-2.844518240743832e-12,8.971556136883052e-13
1501054081.248292,0.08860306441783905,-3927.368896484375,1580.238403320312,717.0979003906250,6.522518636309371e-11,6.231319626959220e-11,6.557128451323280e-11,-1.369549113873492e-12,-7.883459510193980e-13,2.449772155965757e-12
1501054081.278292,0.1045944765210152,-2976.237792968750,76.65888214111328,1091.846069335938,7.338990526406519e-11,7.171007537776219e-11,7.309920030396100e-11,-4.025752387698533e-12,-2.478376228201573e-12,2.099652483128489e-12
1501054081.308292,0.09839841723442078,-1738.743896484375,950.4808349609375,813.1950073242188,7.154415254673197e-11,6.382040729224769e-11,6.606273861287093e-11,-4.320306699195919e-12,-2.575923849224004e-12,6.364376799010418e-13
